"","Start","End","Break","Year"
"1",2016-02-24,2016-02-29,"Spring_Break",2016
"2",2016-03-23,2016-03-28,"Easter_Recess",2016
"3",2016-10-05,2016-10-10,"Mid_Term_Break",2016
"4",2017-03-01,2017-03-06,"Spring_Break",2017
"5",2017-04-12,2017-04-17,"Easter_Recess",2017
"6",2017-10-04,2017-10-09,"Mid_Term_Break",2017
"7",2018-02-28,2018-03-05,"Spring_Break",2018
"8",2018-03-28,2018-04-02,"Easter_Recess",2018
